00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:37:46.404 UTC [kvledger] CommitWithPvtData -> INFO a980[0m [channelall] Committed block [10] with 4 transaction(s) in 35ms (state_validation=0ms block_commit=28ms state_commit=3ms)
[34m2019-05-10 21:37:49.058 UTC [kvledger] CommitWithPvtData -> INFO aa2d[0m [channelall] Committed block [11] with 5 transaction(s) in 25ms (state_validation=0ms block_commit=18ms state_commit=3ms)
[34m2019-05-10 21:37:56.333 UTC [kvledger] CommitWithPvtData -> INFO ace6[0m [channelall] Committed block [12] with 4 transaction(s) in 4267ms (state_validation=0ms block_commit=32ms state_commit=4232ms)
[34m2019-05-10 21:37:56.345 UTC [kvledger] CommitWithPvtData -> INFO ad15[0m [channelall] Committed block [13] with 4 transaction(s) in 10ms (state_validation=0ms block_commit=6ms state_commit=1ms)
[34m2019-05-10 21:37:56.563 UTC [kvledger] CommitWithPvtData -> INFO ad47[0m [channelall] Committed block [14] with 3 transaction(s) in 29ms (state_validation=0ms block_commit=21ms state_commit=4ms)
[34m2019-05-10 21:37:59.046 UTC [kvledger] CommitWithPvtData -> INFO ae01[0m [channelall] Committed block [15] with 3 transaction(s) in 47ms (state_validation=0ms block_commit=41ms state_commit=3ms)
[34m2019-05-10 21:38:01.050 UTC [kvledger] CommitWithPvtData -> INFO af3f[0m [channelall] Committed block [16] with 5 transaction(s) in 24ms (state_validation=0ms block_commit=18ms state_commit=3ms)
[34m2019-05-10 21:38:03.532 UTC [kvledger] CommitWithPvtData -> INFO afd5[0m [channelall] Committed block [17] with 3 transaction(s) in 54ms (state_validation=0ms block_commit=47ms state_commit=3ms)
[34m2019-05-10 21:38:06.653 UTC [kvledger] CommitWithPvtData -> INFO b1a3[0m [channelall] Committed block [18] with 5 transaction(s) in 16ms (state_validation=0ms block_commit=12ms state_commit=2ms)
[34m2019-05-10 21:38:09.142 UTC [kvledger] CommitWithPvtData -> INFO b236[0m [channelall] Committed block [19] with 4 transaction(s) in 47ms (state_validation=0ms block_commit=40ms state_commit=3ms)
[34m2019-05-10 21:38:11.795 UTC [kvledger] CommitWithPvtData -> INFO b363[0m [channelall] Committed block [20] with 2 transaction(s) in 45ms (state_validation=0ms block_commit=38ms state_commit=2ms)
[34m2019-05-10 21:38:13.854 UTC [kvledger] CommitWithPvtData -> INFO b3d1[0m [channelall] Committed block [21] with 5 transaction(s) in 25ms (state_validation=0ms block_commit=17ms state_commit=4ms)
[34m2019-05-10 21:38:15.930 UTC [kvledger] CommitWithPvtData -> INFO b4ed[0m [channelall] Committed block [22] with 3 transaction(s) in 44ms (state_validation=0ms block_commit=36ms state_commit=3ms)
[34m2019-05-10 21:38:18.482 UTC [kvledger] CommitWithPvtData -> INFO b5f1[0m [channelall] Committed block [23] with 3 transaction(s) in 36ms (state_validation=0ms block_commit=28ms state_commit=4ms)
[34m2019-05-10 21:38:20.900 UTC [kvledger] CommitWithPvtData -> INFO b769[0m [channelall] Committed block [24] with 5 transaction(s) in 37ms (state_validation=0ms block_commit=21ms state_commit=6ms)
[34m2019-05-10 21:38:23.429 UTC [kvledger] CommitWithPvtData -> INFO b83c[0m [channelall] Committed block [25] with 2 transaction(s) in 39ms (state_validation=0ms block_commit=33ms state_commit=3ms)
[34m2019-05-10 21:38:25.747 UTC [kvledger] CommitWithPvtData -> INFO b940[0m [channelall] Committed block [26] with 3 transaction(s) in 21ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:38:27.791 UTC [kvledger] CommitWithPvtData -> INFO ba4c[0m [channelall] Committed block [27] with 5 transaction(s) in 25ms (state_validation=0ms block_commit=18ms state_commit=4ms)
[34m2019-05-10 21:38:31.193 UTC [kvledger] CommitWithPvtData -> INFO bba2[0m [channelall] Committed block [28] with 1 transaction(s) in 38ms (state_validation=0ms block_commit=32ms state_commit=3ms)
[34m2019-05-10 21:38:33.659 UTC [kvledger] CommitWithPvtData -> INFO bc31[0m [channelall] Committed block [29] with 4 transaction(s) in 20ms (state_validation=0ms block_commit=14ms state_commit=2ms)
[34m2019-05-10 21:38:35.795 UTC [kvledger] CommitWithPvtData -> INFO bd3d[0m [channelall] Committed block [30] with 3 transaction(s) in 50ms (state_validation=0ms block_commit=30ms state_commit=3ms)
[34m2019-05-10 21:38:40.524 UTC [kvledger] CommitWithPvtData -> INFO bf19[0m [channelall] Committed block [31] with 3 transaction(s) in 23ms (state_validation=0ms block_commit=16ms state_commit=3ms)
[34m2019-05-10 21:38:42.537 UTC [kvledger] CommitWithPvtData -> INFO c046[0m [channelall] Committed block [32] with 2 transaction(s) in 42ms (state_validation=0ms block_commit=35ms state_commit=3ms)
[34m2019-05-10 21:38:46.432 UTC [kvledger] CommitWithPvtData -> INFO c1cc[0m [channelall] Committed block [33] with 1 transaction(s) in 36ms (state_validation=0ms block_commit=25ms state_commit=6ms)
[34m2019-05-10 21:38:48.910 UTC [kvledger] CommitWithPvtData -> INFO c242[0m [channelall] Committed block [34] with 1 transaction(s) in 19ms (state_validation=0ms block_commit=11ms state_commit=4ms)
[34m2019-05-10 21:39:14.177 UTC [kvledger] CommitWithPvtData -> INFO cb10[0m [channelall] Committed block [35] with 47 transaction(s) in 42ms (state_validation=2ms block_commit=25ms state_commit=7ms)
[34m2019-05-10 21:39:19.679 UTC [kvledger] CommitWithPvtData -> INFO d7ac[0m [channelall] Committed block [36] with 500 transaction(s) in 89ms (state_validation=14ms block_commit=46ms state_commit=12ms)
[34m2019-05-10 21:39:20.053 UTC [kvledger] CommitWithPvtData -> INFO e20c[0m [channelall] Committed block [37] with 500 transaction(s) in 106ms (state_validation=10ms block_commit=49ms state_commit=6ms)
[34m2019-05-10 21:39:20.577 UTC [kvledger] CommitWithPvtData -> INFO ec7a[0m [channelall] Committed block [38] with 500 transaction(s) in 79ms (state_validation=10ms block_commit=50ms state_commit=6ms)
[34m2019-05-10 21:39:20.927 UTC [kvledger] CommitWithPvtData -> INFO f687[0m [channelall] Committed block [39] with 500 transaction(s) in 72ms (state_validation=9ms block_commit=41ms state_commit=10ms)
[34m2019-05-10 21:39:21.523 UTC [kvledger] CommitWithPvtData -> INFO 100a5[0m [channelall] Committed block [40] with 500 transaction(s) in 186ms (state_validation=33ms block_commit=100ms state_commit=9ms)
[34m2019-05-10 21:39:21.865 UTC [kvledger] CommitWithPvtData -> INFO 10a70[0m [channelall] Committed block [41] with 500 transaction(s) in 100ms (state_validation=10ms block_commit=55ms state_commit=8ms)
[34m2019-05-10 21:39:22.332 UTC [kvledger] CommitWithPvtData -> INFO 114a1[0m [channelall] Committed block [42] with 500 transaction(s) in 145ms (state_validation=13ms block_commit=104ms state_commit=8ms)
[34m2019-05-10 21:39:22.633 UTC [kvledger] CommitWithPvtData -> INFO 11e80[0m [channelall] Committed block [43] with 500 transaction(s) in 69ms (state_validation=11ms block_commit=43ms state_commit=4ms)
[34m2019-05-10 21:39:23.157 UTC [kvledger] CommitWithPvtData -> INFO 12859[0m [channelall] Committed block [44] with 500 transaction(s) in 105ms (state_validation=19ms block_commit=57ms state_commit=14ms)
[34m2019-05-10 21:39:25.048 UTC [kvledger] CommitWithPvtData -> INFO 131f7[0m [channelall] Committed block [45] with 453 transaction(s) in 82ms (state_validation=6ms block_commit=59ms state_commit=8ms)
